Hour	Mass flow rate [kg/h]	Temperature [C]
419	0.057922827	80
420	0.062400352	80
421	0.045109225	80
422	0.083240547	80
423	0.089657924	80
424	0.109045316	80
425	0.084171231	80
426	0.086802973	80
427	0.079525604	80
428	0.057350613	80
429	0.062714291	80
430	0.043754389	80
431	0.048205753	80
432	0.03944274	80
433	0.035897013	80
434	0.03183028	80
435	0.040901108	80
436	0.072807647	80
437	0.05946135	80
438	0.093840992	80
439	0.080142905	80
440	0.051098554	80
441	0.044702885	80
442	0.045164888	80
443	0.056235128	80
444	0.03949395	80
445	0.063742941	80
446	0.084456225	80
447	0.080849268	80
448	0.101257518	80
449	0.122397179	80
450	0.108970171	80
451	0.077001847	80
452	0.057464165	80
453	0.031610968	80
454	0.02876548	80
455	0.01719817	80
456	0.007850697	80
457	0.010961141	80
458	0.015086876	80
459	0.023756931	80
460	0.031540833	80
461	0.053661275	80
462	0.043083095	80
463	0.060837337	80
464	0.035087674	80
465	0.029772422	80
466	0.039242354	80
467	0.036406885	80
468	0.038990757	80
469	0.03237355	80
470	0.04686539	80
471	0.081612963	80
472	0.078889933	80
473	0.090942067	80
474	0.066519408	80
475	0.039837947	80
476	0.019231536	80
477	0.008723492	80
478	0.005766121	80
479	0.006710721	80
480	0.004939527	80
481	0.005857965	80
482	0.005079797	80
483	0.007469963	80
484	0.019142476	80
485	0.023427407	80
486	0.036076247	80
487	0.034526592	80
488	0.029467946	80
489	0.024867963	80
490	0.028076373	80
491	0.02357881	80
492	0.034441427	80
493	0.039125462	80
494	0.040918921	80
495	0.061132907	80
496	0.096693159	80
497	0.06366724	80
498	0.045304045	80
499	0.02297765	80
500	0.010937762	80
501	0.0072128	80
502	0.006406801	80
503	0.006710721	80
504	0.006586036	80
505	0.004881637	80
506	0.006773063	80
507	0.008963956	80
508	0.020586372	80
509	0.027269261	80
510	0.027292639	80
511	0.041537892	80
512	0.022879684	80
513	0.029670559	80
514	0.023345026	80
515	0.02155268	80
516	0.029801924	80
517	0.040718534	80
518	0.042409573	80
519	0.065042114	80
520	0.081479372	80
521	0.069728931	80
522	0.046150121	80
523	0.023705721	80
524	0.008677848	80
525	0.005901382	80
526	0.006406801	80
527	0.006710721	80
528	0.004939527	80
529	0.005857965	80
530	0.006773063	80
531	0.007469963	80
532	0.006830953	80
533	0.021117953	80
534	0.028193265	80
535	0.028272307	80
536	0.031937153	80
537	0.022104856	80
538	0.026866818	80
539	0.039716602	80
540	0.042989581	80
541	0.044960605	80
542	0.042067803	80
543	0.088423877	80
544	0.087128044	80
545	0.100293437	80
546	0.062009598	80
547	0.04299793	80
548	0.03484053	80
549	0.01324332	80
550	0.00844963	80
551	0.007403167	80
552	0.005488363	80
553	0.005857965	80
554	0.005644219	80
555	0.006492522	80
556	0.029077749	80
557	0.032646298	80
558	0.04567476	80
559	0.036705795	80
560	0.029077749	80
561	0.022697109	80
562	0.022156066	80
563	0.022763905	80
564	0.015714754	80
565	0.024953684	80
566	0.031733427	80
567	0.046311544	80
568	0.050751218	80
569	0.046088892	80
570	0.036920097	80
571	0.023614434	80
572	0.031110559	80
573	0.018756175	80
574	0.016029806	80
575	0.012514136	80
576	0.013507162	80
577	0.018261888	80
578	0.017439191	80
579	0.025789741	80
580	0.041464417	80
581	0.038487565	80
582	0.06430291	80
583	0.059542618	80
584	0.033264157	80
585	0.041880776	80
586	0.040952318	80
587	0.034182595	80
588	0.04023371	80
589	0.044513632	80
590	0.047782158	80
591	0.098797218	80
592	0.104924591	80
593	0.083577864	80
594	0.080655561	80
595	0.040853795	80
596	0.033938791	80
597	0.020719963	80
598	0.01004159	80
599	0.006100655	80
600	0.004939527	80
601	0.004393474	80
602	0.006773063	80
603	0.011346885	80
604	0.032516047	80
605	0.033647118	80
606	0.038870525	80
607	0.041064201	80
608	0.041586876	80
609	0.0284649	80
610	0.025021593	80
611	0.03237355	80
612	0.032813287	80
613	0.032377447	80
614	0.047497164	80
615	0.053187027	80
616	0.105349856	80
617	0.081597377	80
618	0.046990631	80
619	0.024608017	80
620	0.011204944	80
621	0.006557091	80
622	0.005125441	80
623	0.006100655	80
624	0.0060372	80
625	0.004393474	80
626	0.006208641	80
627	0.008216959	80
628	0.00939256	80
629	0.012668879	80
630	0.022270731	80
631	0.026261762	80
632	0.019419677	80
633	0.021458053	80
634	0.01562124	80
635	0.019026697	80
636	0.019713021	80
637	0.026990947	80
638	0.037327549	80
639	0.059281002	80
640	0.065210772	80
641	0.051850003	80
642	0.047979204	80
643	0.025889934	80
644	0.00860326	80
645	0.005901382	80
646	0.006406801	80
647	0.00549059	80
648	0.005488363	80
649	0.005369801	80
650	0.004515376	80
651	0.009037431	80
652	0.01478407	80
653	0.02816933	80
654	0.044764671	80
655	0.043205553	80
656	0.036223197	80
657	0.033157284	80
658	0.023881616	80
659	0.029835321	80
660	0.03237188	80
661	0.032301188	80
662	0.047771025	80
663	0.067201835	80
664	0.093594962	80
665	0.094061417	80
666	0.077326919	80
667	0.069714459	80
668	0.043361409	80
669	0.03381188	80
670	0.074442467	80
671	0.073096537	80
672	0.062899092	80
673	0.059609414	80
674	0.065626574	80
675	0.058147149	80
676	0.067519113	80
677	0.05946135	80
678	0.069193454	80
679	0.062851222	80
680	0.0514509	80
681	0.038891677	80
682	0.045220551	80
683	0.042382855	80
684	0.034947403	80
685	0.04414069	80
686	0.050988342	80
687	0.090975465	80
688	0.123352355	80
689	0.100020688	80
690	0.080694525	80
691	0.056569105	80
692	0.050189579	80
693	0.033539688	80
694	0.029744034	80
695	0.019537682	80
696	0.016225739	80
697	0.008282641	80
698	0.008431261	80
699	0.01838546	80
700	0.028342999	80
701	0.023427407	80
702	0.033908733	80
703	0.033547481	80
704	0.026868488	80
705	0.021276035	80
706	0.02846991	80
707	0.035997206	80
708	0.02986204	80
709	0.037888075	80
710	0.047326279	80
711	0.068912913	80
712	0.113433224	80
713	0.118982816	80
714	0.07399605	80
715	0.104955762	80
716	0.064853973	80
717	0.060663669	80
718	0.080436806	80
719	0.083814988	80
720	0.064134808	80
721	0.054199535	80
722	0.070843303	80
723	0.048604856	80
724	0.063151801	80
725	0.05946135	80
726	0.084569777	80
727	0.05877113	80
728	0.048718965	80
729	0.045070261	80
730	0.034421945	80
731	0.047164856	80
732	0.052467862	80
733	0.046589858	80
734	0.052816868	80
735	0.076692918	80
736	0.136730379	80
737	0.130411526	80
738	0.082087211	80
739	0.08229372	80
740	0.081818916	80
741	0.073686564	80
742	0.051962443	80
743	0.059655614	80
744	0.057647296	80
745	0.044891583	80
746	0.050964963	80
747	0.045006805	80
748	0.074999652	80
749	0.075000209	80
750	0.061505292	80
751	0.072857187	80
752	0.044821447	80
753	0.04518103	80
754	0.046930515	80
755	0.035328138	80
756	0.036305022	80
757	0.049448705	80
758	0.06287627	80
759	0.092939809	80
760	0.137812466	80
761	0.112132938	80
762	0.109349793	80
763	0.124961013	80
764	0.094638085	80
765	0.074027778	80
766	0.082846453	80
767	0.067240799	80
768	0.077338608	80
769	0.074816521	80
770	0.086792397	80
771	0.096018525	80
772	0.079849005	80
773	0.110165811	80
774	0.103391634	80
775	0.071840782	80
776	0.061485254	80
777	0.039542933	80
778	0.054197865	80
779	0.035748949	80
780	0.036180893	80
781	0.057864938	80
782	0.07103033	80
783	0.085214353	80
784	0.098489958	80
785	0.093911127	80
786	0.089967966	80
787	0.05981314	80
788	0.061457422	80
789	0.041809527	80
790	0.04453033	80
791	0.043197204	80
792	0.030565619	80
793	0.04745152	80
794	0.044135124	80
795	0.05694316	80
796	0.050627646	80
797	0.056609183	80
798	0.068650184	80
799	0.074070638	80
800	0.06906042	80
801	0.051243278	80
802	0.03840741	80
803	0.051548867	80
804	0.059695134	80
805	0.062925253	80
806	0.054678793	80
807	0.097460194	80
808	0.154050451	80
809	0.114941689	80
810	0.137894291	80
811	0.114547595	80
812	0.073296924	80
813	0.077254557	80
814	0.077210027	80
815	0.066373014	80
816	0.094001301	80
817	0.076029973	80
818	0.06163443	80
819	0.112964542	80
820	0.106342882	80
821	0.104683571	80
822	0.111996007	80
823	0.07755458	80
824	0.059319966	80
825	0.038380692	80
826	0.046584292	80
827	0.037490085	80
828	0.052650993	80
829	0.056637014	80
830	0.065298163	80
831	0.107206214	80
832	0.105585866	80
833	0.100785497	80
834	0.125844384	80
835	0.08586561	80
836	0.058820113	80
837	0.058603028	80
838	0.080395058	80
839	0.056418815	80
840	0.05160954	80
841	0.077369223	80
842	0.093941185	80
843	0.099097797	80
844	0.066737606	80
845	0.091136887	80
846	0.104895646	80
847	0.063611577	80
848	0.067156191	80
849	0.055239875	80
850	0.039832381	80
851	0.038068979	80
852	0.040095109	80
853	0.049280047	80
854	0.061969521	80
855	0.108785927	80
856	0.126571898	80
857	0.132867373	80
858	0.084108888	80
859	0.090865252	80
860	0.080310451	80
861	0.063101705	80
862	0.072225969	80
863	0.069761216	80
864	0.056726075	80
865	0.04720215	80
866	0.052194	80
867	0.066813864	80
868	0.093221464	80
869	0.073982691	80
870	0.074138547	80
871	0.089199818	80
872	0.06906042	80
873	0.050881469	80
874	0.040402369	80
875	0.044130114	80
876	0.05595737	80
877	0.060678141	80
878	0.071398818	80
879	0.11591913	80
880	0.151132045	80
881	0.117281201	80
882	0.120304254	80
883	0.104134178	80
884	0.077028566	80
885	0.09440931	80
886	0.087749243	80
887	0.062036317	80
888	0.06375797	80
889	0.071531296	80
890	0.070831057	80
891	0.062983699	80
892	0.110439672	80
893	0.122269155	80
894	0.078876574	80
895	0.0981198	80
896	0.074303309	80
897	0.046444578	80
898	0.04449081	80
899	0.054334796	80
900	0.040696269	80
901	0.05679287	80
902	0.06746512	80
903	0.116715109	80
904	0.104864475	80
905	0.102477649	80
906	0.099235841	80
907	0.075861314	80
908	0.08823017	80
909	0.071625923	80
910	0.054169477	80
911	0.068198201	80
912	0.07103701	80
913	0.070921787	80
914	0.084255838	80
915	0.083069661	80
916	0.064083598	80
917	0.086427805	80
918	0.10410078	80
919	0.095417365	80
920	0.055429129	80
921	0.040232597	80
922	0.038083452	80
923	0.0382638	80
924	0.047268946	80
925	0.046177953	80
926	0.06455395	80
927	0.075395416	80
928	0.119384703	80
929	0.080016551	80
930	0.10796156	80
931	0.068001154	80
932	0.07917938	80
933	0.055829902	80
934	0.037801797	80
935	0.034542177	80
936	0.041296315	80
937	0.039542933	80
938	0.047183225	80
939	0.053052322	80
940	0.065526381	80
941	0.093226473	80
942	0.083460972	80
943	0.07265513	80
944	0.058891362	80
945	0.060182742	80
946	0.044811428	80
947	0.055534888	80
948	0.047817225	80
949	0.064719269	80
950	0.083571741	80
951	0.132508904	80
952	0.133785811	80
953	0.128109864	80
954	0.098395331	80
955	0.068717536	80
956	0.068435882	80
957	0.050118887	80
958	0.048533607	80
959	0.041660351	80
960	0.029386678	80
961	0.027257015	80
962	0.044766341	80
963	0.056729414	80
964	0.062606861	80
965	0.067602608	80
966	0.059399008	80
967	0.059256511	80
968	0.056685997	80
969	0.045977009	80
970	0.033566963	80
971	0.04360076	80
972	0.037387665	80
973	0.042170223	80
974	0.067841958	80
975	0.079117038	80
976	0.107417176	80
977	0.111926985	80
978	0.084908207	80
979	0.08304684	80
980	0.053920664	80
981	0.039409342	80
982	0.023535393	80
983	0.019760334	80
984	0.013831677	80
985	0.010713997	80
986	0.010473534	80
987	0.014708368	80
988	0.031733427	80
989	0.050124453	80
990	0.043608553	80
991	0.05086811	80
992	0.047642444	80
993	0.030245	80
994	0.038396277	80
995	0.047538354	80
996	0.046025993	80
997	0.051695817	80
998	0.048168458	80
999	0.085932405	80
1000	0.096866828	80
1001	0.073662073	80
1002	0.06346908	80
1003	0.031104436	80
1004	0.011764913	80
1005	0.005245673	80
1006	0.007047481	80
1007	0.006710721	80
1008	0.005488363	80
1009	0.005857965	80
1010	0.006773063	80
1011	0.006722967	80
1012	0.00939256	80
1013	0.018490663	80
1014	0.030163733	80
1015	0.038874422	80
1016	0.024572393	80
1017	0.022583557	80
1018	0.03069921	80
1019	0.02694085	80
1020	0.031955522	80
1021	0.02980749	80
1022	0.034337338	80
1023	0.064413123	80
1024	0.061964511	80
1025	0.060823978	80
1026	0.034139178	80
1027	0.011260607	80
1028	0.007169383	80
1029	0.006557091	80
1030	0.007047481	80
1031	0.00549059	80
1032	0.004939527	80
1033	0.004393474	80
1034	0.006773063	80
1035	0.006722967	80
1036	0.00939256	80
1037	0.014462338	80
1038	0.017291127	80
1039	0.02555707	80
1040	0.017658503	80
1041	0.014194043	80
1042	0.011065787	80
1043	0.022329734	80
1044	0.024928079	80
1045	0.019962947	80
1046	0.034783754	80
1047	0.047516646	80
1048	0.068849457	80
1049	0.064327402	80
1050	0.049308435	80
1051	0.024753297	80
1052	0.015950764	80
1053	0.007530079	80
1054	0.007047481	80
1055	0.004880524	80
1056	0.004390691	80
1057	0.004393474	80
1058	0.004515376	80
1059	0.01008612	80
1060	0.022737187	80
1061	0.037559107	80
1062	0.040938959	80
1063	0.035340383	80
1064	0.02965052	80
1065	0.015714754	80
1066	0.019882793	80
1067	0.024934759	80
1068	0.017821038	80
1069	0.029944421	80
1070	0.029015963	80
1071	0.058172197	80
1072	0.067045979	80
1073	0.064535581	80
1074	0.066501595	80
1075	0.033710017	80
1076	0.025454093	80
1077	0.020043658	80
1078	0.023422954	80
1079	0.028866787	80
1080	0.029562573	80
1081	0.032128633	80
1082	0.024380356	80
1083	0.045173794	80
1084	0.0429996	80
1085	0.059341118	80
1086	0.067784069	80
1087	0.054134409	80
1088	0.05352991	80
1089	0.038529868	80
1090	0.049922953	80
1091	0.054057595	80
1092	0.050118887	80
1093	0.050747878	80
1094	0.058748865	80
1095	0.109706035	80
1096	0.119292302	80
1097	0.163335025	80
1098	0.143053686	80
1099	0.13900254	80
1100	0.098069147	80
1101	0.090825175	80
1102	0.073777295	80
1103	0.072445281	80
1104	0.0547634	80
1105	0.065086644	80
1106	0.055177532	80
1107	0.092164425	80
1108	0.079849005	80
1109	0.092308035	80
1110	0.117143714	80
1111	0.123010585	80
1112	0.082390017	80
1113	0.069954366	80
1114	0.061897159	80
1115	0.069476778	80
1116	0.078651696	80
1117	0.057844899	80
1118	0.082108363	80
1119	0.154117247	80
1120	0.139884797	80
