Hour	Heat demand [kW]
849	0.223721896
850	0.206977476
851	0.186999728
852	0.171788638
853	0.161488654
854	0.150199782
855	0.14327757
856	0.146344232
857	0.15587755
858	0.162555318
859	0.171177528
860	0.167921978
861	0.152688666
862	0.105455402
863	0.087788762
864	0.085888764
865	0.086310986
866	0.090277646
867	0.101144298
868	0.131355364
869	0.194544162
870	0.25805518
871	0.253210742
872	0.245188532
873	0.225299672
874	0.208477474
875	0.188421948
876	0.16906642
877	0.156299772
878	0.14896645
879	0.148133118
880	0.159977544
881	0.18022196
882	0.195621938
883	0.216810796
884	0.219144126
885	0.21187747
886	0.149510894
887	0.12258871
888	0.119999826
889	0.122466488
890	0.12633315
891	0.1369998
892	0.180088626
893	0.259244068
894	0.335466178
895	0.324032862
896	0.310788436
897	0.287099582
898	0.268688498
899	0.246866308
900	0.228855222
901	0.209533028
902	0.185933062
903	0.190610834
904	0.204599702
905	0.22506634
906	0.233977438
907	0.244988532
908	0.241466316
909	0.226366338
910	0.16074421
911	0.131288698
912	0.129233146
913	0.129699812
914	0.134588692
915	0.146777564
916	0.185155286
917	0.27074405
918	0.357066146
919	0.339588394
920	0.32087731
921	0.299777342
922	0.279221816
923	0.25684407
924	0.241088538
925	0.225110784
926	0.214277466
927	0.20396637
928	0.210788582
929	0.223788564
930	0.24323298
931	0.26109962
932	0.25592185
933	0.240866316
934	0.172833082
935	0.141444238
936	0.136344246
937	0.136922022
938	0.140599796
939	0.153299776
940	0.196321936
941	0.28656625
942	0.371466126
943	0.355132816
944	0.332655072
945	0.29185513
946	0.255144074
947	0.215510798
948	0.177221964
949	0.149799782
950	0.135410914
951	0.127488704
952	0.138910908
953	0.182788622
954	0.192977496
955	0.20204415
956	0.211255248
957	0.204621924
958	0.143466458
959	0.109544284
960	0.102233184
961	0.08919987
962	0.101544296
963	0.114999832
964	0.150644226
965	0.206044144
966	0.26525517
967	0.254932962
968	0.243510756
969	0.215788574
970	0.191921942
971	0.172744194
972	0.154121998
973	0.15109978
974	0.139110908
975	0.14327757
976	0.16245532
977	0.178944184
978	0.189010836
979	0.198021934
980	0.198121934
981	0.194966382
982	0.136555356
983	0.11751094
984	0.116444274
985	0.121022046
986	0.124077598
987	0.13374425
988	0.166888646
989	0.2362441
990	0.30665511
991	0.291210688
992	0.265377392
993	0.233221882
994	0.211488582
995	0.208377474
996	0.19352194
997	0.193944162
998	0.190866388
999	0.184544176
1000	0.190966388
1001	0.184066398
1002	0.191655276
1003	0.200710818
1004	0.195499716
1005	0.180466404
1006	0.121010934
1007	0.099388744
1008	0.097255414
1009	0.095710972
1010	0.094033196
1011	0.098699856
1012	0.129322034
1013	0.190221946
1014	0.249055194
1015	0.23419966
1016	0.211544136
1017	0.18093307
1018	0.157299772
1019	0.144233124
1020	0.129655366
1021	0.127733148
1022	0.120633158
1023	0.1068554
1024	0.126522038
1025	0.137933132
1026	0.149322004
1027	0.157766438
1028	0.16134421
1029	0.151477558
1030	0.112366504
1031	0.096488748
1032	0.094410974
1033	0.092822088
1034	0.0910332
1035	0.100333188
1036	0.142522014
1037	0.208921918
1038	0.2364441
